activity_final,type_final,species_final,age_final,injury_final,final_date,country,state,location,sex
diving,other,other,29.0,other,,philippines,batangas resort,verde island,M
other,unprovoked,other,35.0,other,2025-02-22,australia,western australia,blasck wall reach swan river perth,F
other,other,other shark,58.0,other,2025-02-22,australia,nsw,off port stephens near newcastle,M
diving,unprovoked,other,29.0,injured,2025-02-22,australia,queensland,the wrecks walking track moreton island,M
swimming,unprovoked,bull shark,24.0,injured,2025-02-10,bahamas,,bimini bay,F
swimming,unprovoked,bull shark,20.0,other,2025-02-10,bahamas,,bimini bay,F
swimming,unprovoked,bull shark,55.0,injured,2025-02-07,turks and caicos,near five cays settlement west caicos,thompson cove beach,F
swimming,unprovoked,bull shark,17.0,injured,2025-02-03,australia,queensland,"woorim beach, bribie island,",F
swimming,unprovoked,other,12.0,injured,2025-01-23,australia,western australia,shipwreck cove,M
surfing,unprovoked,other,37.0,injured,2025-01-22,australia,western australia,cheynes beach,M
fishing,unprovoked,other,36.0,other,2025-01-03,mozambique,inhambane province,vilankulo bay,M
diving,provoked,other,23.0,injured,2025-01-11,usa,hawaii,off haleiwa boat harbour oahu,M
fishing,unprovoked,bull shark,40.0,injured,2025-01-02,new caledonia,grande terre,islet of kendek near koumac,M
surfing,unprovoked,other,28.0,other,2025-01-02,australia,south australia,granites beach near westall streaky bay,M
diving,unprovoked,other,,injured,2024-12-30,mozambique,,,M
diving,unprovoked,tiger shark,69.0,injured,2024-12-29,egypt,north of marsa alam,red sea,M
diving,unprovoked,tiger shark,48.0,injured,2024-12-29,egypt,north of marsa alam,red sea,M
fishing,unprovoked,other,40.0,injured,2024-12-28,australia,queensland,humpy island great keppel island,M
fishing,unprovoked,other,,injured,2024-12-02,australia,queensland,curtis island near gladstone qld central coast,M
surfing,unprovoked,other shark,,injured,2024-12-01,australia,western australia,greenough river mouth beach cape burney 12km south of geraldton,M
swimming,unprovoked,other,57.0,injured,2024-11-30,thailand,phang nga province,khao lak beach,F
diving,unprovoked,white shark,24.0,fatal,2024-11-19,new zealand,bay of waitangi,chatham islands,M
diving,unprovoked,other,45.0,injured,2024-11-15,maldives,kaafu,maafushi,F
surfing,unprovoked,other,61.0,other,2024-11-01,hawaii,maui,sand piles waiehu beach park,M
diving,unprovoked,tiger shark,57.0,injured,2024-10-31,australia,queensland,whitsunday islands,F
surfing,unprovoked,other,27.0,injured,2024-10-25,usa,florida,"bathtub beach, martin county",M
swimming,unprovoked,bull shark,38.0,other,2024-10-14,honduras,tela,atlantida,M
surfing,unprovoked,bull shark,16.0,injured,2024-10-11,usa,florida,brevard county orlando,M
other,other,tiger shark,68.0,other,2024-09-26,indonesia,timor leste,pulau reong island,F
other,unprovoked,bull shark,33.0,injured,2024-09-17,honduras,trujillo colon,puerto castillo,M
other,unprovoked,other,30.0,other,2024-09-16,morocco,southern morocco,west of dakhla,F
fishing,unprovoked,tiger shark,16.0,other,2024-08-26,jamaica,montego bay,falmouth,M
other,unprovoked,other shark,15.0,injured,2024-08-06,belize,gulf of honduras,central america,F
surfing,unprovoked,white shark,23.0,injured,2024-07-23,australia,nsw,"north shore beach, port macquarie",M
surfing,unprovoked,other shark,41.0,injured,2024-07-18,australia,western australia,trigg beach sterling,M
other,unprovoked,other shark,14.0,injured,2024-07-08,usa,florida,ponce de leon inlet volusia county,M
fishing,unprovoked,other,43.0,other,2024-07-08,australia,western australia,14 mile beach coral bay (gascoyne region),M
swimming,unprovoked,other,26.0,injured,2024-07-05,usa,florida,new smyrna beach,M
swimming,unprovoked,bull shark,,injured,2024-07-04,usa,texas,south padre island,F
swimming,unprovoked,other shark,18.0,other,2024-07-04,usa,texas,south padre island,F
swimming,unprovoked,other shark,18.0,other,2024-07-04,usa,texas,south padre island,F
other,unprovoked,other,21.0,injured,2024-07-04,usa,floria,new smyrna beach,M
swimming,unprovoked,other shark,,injured,2024-07-04,usa,florida,new smyrna beach beach access 14 volusia county,M
surfing,unprovoked,other,49.0,injured,2024-06-23,usa,hawaii,goat island (moku'auia) la'ie bay,M
