activity_final,type_final,species_final,age_final,injury_final,final_date,country,state,location,sex
swimming,unprovoked,other shark,16.0,injured,2018-08-05,usa,north carolina,"bald head island, brunswick county",M
other,unprovoked,unknown,,injured,2018-08-05,usa,north carolina,"bald head island, brunswick county",F
diving,unprovoked,tiger shark,42.0,fatal,2018-08-03,egypt,,marsa alam,M
surfing,unprovoked,unknown,14.0,other,2018-07-29,usa,florida,"st augustine, st johns county",M
other,provoked,unknown,6.0,injured,2018-07-24,china,guizhou province,shopping mall aquarium in guiyang city,F
surfing,unprovoked,tiger shark,13.0,other,2018-07-18,usa,new york,"atlantique beach, fire island, suffolk county",M
swimming,unprovoked,tiger shark,12.0,injured,2018-07-18,usa,new york,"sailors haven, fire island, suffolk county",F
surfing,other,unknown,,injured,2018-07-16,usa,texas,galveston,F
fishing,other,unknown,62.0,injured,2018-07-15,colombia,san andres and providencia archipelago,provencia,M
swimming,provoked,other shark,58.0,other,2018-07-14,usa,california,"trinidad beach, huboldt county",F
surfing,other,unknown,14.0,injured,2018-07-14,usa,florida,"playalinda beach, brevard county",F
swimming,unprovoked,unknown,17.0,injured,2018-07-13,usa,florida,"fernandina beach, nassau county",M
surfing,unprovoked,unknown,30.0,injured,2018-07-13,usa,florida,"fernandina beach, nassau county",M
surfing,unprovoked,unknown,14.0,injured,2018-07-11,usa,florida,"new smyrna beach, volusia county",M
other,unprovoked,other shark,19.0,injured,,bahamas,the exuma cays,staniel cay,F
diving,other,other shark,,injured,2018-07-07,usa,florida,"john pennekamp coral reef state park, monroe county",M
surfing,unprovoked,unknown,11.0,injured,2018-07-02,usa,south carolina,myrtle beach,F
other,other,white shark,57.0,no injury,2018-06-25,usa,california,"oceanside, san diego county",F
fishing,provoked,other shark,,injured,2018-06-18,usa,florida,"near the bahia honda bridge, monroe county",M
swimming,unprovoked,unknown,11.0,injured,2018-06-18,usa,georgia,"st. simon island, glynn county",F
surfing,other,unknown,48.0,injured,2018-06-09,usa,hawaii,"habush, oahu",M
surfing,unprovoked,other shark,,injured,2018-06-08,australia,new south wales,arrawarra headland,M
diving,provoked,tiger shark,,injured,2018-06-04,mexico,colima,la ticla,M
other,unprovoked,unknown,,no injury,2018-06-03,australia,new south wales,"flat rock, ballina",M
swimming,unprovoked,tiger shark,18.0,fatal,2018-06-03,brazil,pernambuco,"piedade beach, recife",M
diving,unprovoked,other shark,,injured,,egypt,,brothers island,M
fishing,provoked,other shark,52.0,injured,2018-05-27,usa,florida,"lighhouse point park, ponce inlet, volusia county",M
other,unprovoked,bull shark,15.0,injured,2018-05-26,usa,florida,"cocoa beach, brevard  county",M
swimming,unprovoked,unknown,12.0,injured,2018-05-26,usa,florida,"daytona beach, volusia county",M
other,provoked,other shark,32.0,injured,2018-05-24,australia,queensland,cairns aquarium,M
surfing,unprovoked,unknown,10.0,injured,2018-05-21,usa,south carolina,"isle of palms,  charleston county",M
swimming,unprovoked,unknown,10.0,injured,2018-05-13,usa,south carolina,"hilton head island, beaufort county",M
fishing,other,unknown,21.0,injured,2018-05-13,england,cornwall,off land's end,M
other,provoked,other shark,34.0,injured,,australia,westerm australia,dugong bay,F
surfing,unprovoked,unknown,,injured,2018-05-12,south africa,eastern cape province,"nahoon beach, east london",M
surfing,other,unknown,,no injury,2018-05-09,australia,new south wales,"sharpes beach, ballina",M
swimming,unprovoked,unknown,,injured,2018-04-30,thailand,hua hin,sai noi beach,M
fishing,provoked,tiger shark,,injured,2018-04-28,usa,texas,galveston bay,M
diving,unprovoked,tiger shark,30.0,no injury,2018-04-28,costa rica,cocos island,manuelita,M
surfing,unprovoked,unknown,,no injury,2018-04-28,australia,western australia,gearys beach,M
surfing,other,unknown,,no injury,2018-04-25,australia,new south wales,lennox head,M
surfing,unprovoked,other shark,60.0,no injury,2018-04-25,australia,western australia,"surfers point, prevelly",M
surfing,unprovoked,white shark,,no injury,2018-04-24,australia,western australia,"south point, gracetown",M
fishing,unprovoked,tiger shark,32.0,other,2018-04-23,maldives,alifu alifu atoll,madoogali,M
other,unprovoked,white shark,33.0,no injury,2018-04-22,south africa,western cape province,"robberg beach, plettenberg bay",M
surfing,unprovoked,other shark,29.0,injured,2018-04-19,usa,hawaii,"shipwreck’s beach, keoneloa bay, kauai",M
swimming,unprovoked,bull shark,54.0,injured,2018-04-15,thailand,hua hin,sai noi beach,M
swimming,unprovoked,unknown,34.0,injured,2018-04-15,brazil,pernambuco,piedade,M
surfing,unprovoked,unknown,41.0,injured,2018-04-15,australia,western australia,"lefthanders, margaret river area",M
surfing,unprovoked,unknown,37.0,injured,2018-04-15,australia,western australia,"cobblestones, margaret river area",M
surfing,unprovoked,tiger shark,,no injury,2018-04-14,bahamas,new providence,nirvana beach,M
fishing,other,unknown,56.0,injured,2018-04-10,brazil,alagoas,"praia de sauaçuhy, maceió",M
other,unprovoked,other shark,17.0,no injury,2018-04-09,new caledonia,,"magenta beach, noumea",M
swimming,unprovoked,bull shark,12.0,other,2018-04-05,bahamas,,bimini,M
surfing,unprovoked,white shark,19.0,injured,2018-04-03,south africa,eastern cape province,st. francis bay,M
other,unprovoked,tiger shark,25.0,injured,2018-03-31,usa,hawaii,kukio beach,M
swimming,unprovoked,other shark,10.0,injured,2018-03-14,australia,western australia,waterman's bay,M
swimming,unprovoked,other shark,69.0,no injury,2018-03-09,australia,victoria,lorne,M
surfing,unprovoked,other shark,18.0,injured,2018-03-09,australia,victoria,winkipop,M
diving,unprovoked,other shark,38.0,injured,2018-02-24,south africa,kwazulu-natal,durban,M
swimming,unprovoked,white shark,55.0,other,2018-02-23,australia,new south wales,"little congwong beach, la perouse",F
fishing,provoked,unknown,34.0,no injury,2018-02-18,australia,victoria,westernport bay,M
other,unprovoked,bull shark,35.0,other,2018-02-15,australia,new south wales,"surf beach, kiama",M
swimming,other,other,,no injury,2018-02-14,australia,queensland,mooloolaba beach,F
other,other,other shark,46.0,injured,2018-02-11,brazil,"boi island, victoria",espirito santo,F
diving,unprovoked,other shark,45.0,injured,2018-02-03,ecuador,galapagos islands,santa fe island,M
fishing,other,other shark,14.0,no injury,2018-02-01,australia,western australia,"avalon point, manurah",M
other,unprovoked,bull shark,18.0,injured,2018-01-28,australia,western australia,cone bay,M
fishing,unprovoked,bull shark,,injured,2018-01-21,new caledonia,,nouville,M
surfing,unprovoked,other shark,45.0,injured,2018-01-17,french polynesia,,"makemo atoll,",M
diving,unprovoked,other shark,,injured,2018-01-14,australia,queensland,lizard island,M
diving,unprovoked,white shark,28.0,no injury,2018-01-13,australia,new south wales,martin islet,M
surfing,unprovoked,other shark,20.0,injured,2018-01-12,brazil,fernando de noronha,conceicao beach,M
surfing,unprovoked,other shark,,injured,2018-01-05,australia,western australia,"south point, gracetown",M
surfing,unprovoked,tiger shark,54.0,injured,2017-12-31,usa,hawaii,"hultin's beach, oahu",F
surfing,unprovoked,unknown,35.0,injured,2017-12-30,usa,california,"drakes estero, point reyes, marin county",F
other,provoked,other shark,24.0,injured,2017-12-21,malaysia,sepang,bagan lalang beach,M
diving,unprovoked,other shark,25.0,injured,2017-12-09,bahamas,,,F
surfing,unprovoked,other,62.0,other,2017-12-01,australia,new south wales,booti booti national park,M
diving,unprovoked,tiger shark,26.0,injured,2017-11-30,costa rica,cocos island,manuelita,M
diving,unprovoked,tiger shark,49.0,fatal,2017-11-30,costa rica,cocos island,manuelita,F
other,other,other shark,,fatal,2017-11-25,libya,,gars garabulli,
fishing,unprovoked,white shark,25.0,injured,2017-11-24,usa,california,"stillwater cove, monterey county",M
surfing,unprovoked,unknown,14.0,injured,2017-11-18,usa,florida,"floridana beach, brevard county",F
surfing,unprovoked,unknown,24.0,other,2017-11-13,,,,M
surfing,unprovoked,other shark,25.0,other,2017-11-13,australia,new south wales,avoca beach,M
other,unprovoked,tiger shark,22.0,fatal,2017-11-04,cuba,holquin province,guardalavaca beach,M
surfing,unprovoked,unknown,,other,2017-11-02,usa,hawaii,makaha,M
diving,unprovoked,other shark,7.0,injured,2017-10-31,australia,queensland,magnetic island,M
surfing,unprovoked,other shark,31.0,injured,2017-10-28,australia,new south wales,birubi point,M
other,unprovoked,unknown,,no injury,2017-10-26,usa,hawaii,"white plains beach, oahu",M
swimming,unprovoked,unknown,,injured,2017-10-23,mauritius,pamplemousses,le goulet,M
surfing,unprovoked,unknown,17.0,injured,2017-10-23,usa,florida,"juno beach, palm beach county",M
swimming,unprovoked,unknown,60.0,injured,2017-10-23,usa,florida,"ocean reef park, singer island, palm beach county",F
other,unprovoked,white shark,15.0,injured,2017-10-22,australia,south australia,normanville,F
other,other,other shark,,no injury,2017-10-21,new zealand,north island,"off tapuna beach, auckand",M
swimming,unprovoked,other shark,,injured,2017-10-18,usa,florida,"lantana beach, palm beach county",M
surfing,unprovoked,tiger shark,54.0,injured,2017-10-09,usa,hawaii,"davidsons beach, kekaha, kauai",M
diving,unprovoked,other shark,40.0,other,2017-10-05,usa,hawaii,"kama‘ole beach park, maui",F
diving,other,unknown,31.0,fatal,2017-10-01,south africa,western cape province,dyer island,M
surfing,unprovoked,other shark,,injured,2017-09-25,usa,florida,"hanna park, jacksonville, duval county",M
surfing,unprovoked,white shark,,no injury,2017-09-25,australia,western australia,gracetown,M
surfing,other,unknown,33.0,injured,2017-09-24,usa,new york,rockaway,M
surfing,unprovoked,other shark,,injured,2017-09-24,usa,florida,fort worth,M
surfing,unprovoked,unknown,,injured,2017-09-20,usa,florida,palm beach county,M
surfing,unprovoked,other,13.0,injured,2017-09-16,spain,canary islands,gran canaria,M
surfing,unprovoked,unknown,28.0,injured,2017-09-16,usa,florida,"ponce inlet, volusia county",M
diving,other,unknown,25.0,fatal,2017-09-15,south africa,western cape province,hawston,M
fishing,other,unknown,,injured,2017-09-15,samoa,upolu island,nofoali’i,M
fishing,other,white shark,,no injury,,australia,westerm australia,esperance,
surfing,unprovoked,other shark,18.0,injured,2017-09-13,usa,florida,"ponce inlet, volusia county",M
swimming,unprovoked,unknown,,injured,2017-09-10,australia,westerm australia,sam's creek area,M
surfing,unprovoked,white shark,35.0,injured,2017-09-10,australia,new south wales,iluka beach,M
fishing,unprovoked,unknown,,injured,2017-09-06,solomon islands,,owarigi island,M
other,unprovoked,unknown,,fatal,2017-09-03,south africa,western cape province,dyer island,M
surfing,unprovoked,unknown,42.0,injured,2017-09-03,japan,shizuoka prefecture,iwata city,M
swimming,unprovoked,other shark,,injured,2017-09-02,usa,florida,"marathon, monroe county",M
swimming,unprovoked,unknown,,injured,2017-09-02,usa,texas,"south padre island, cameron county",F
surfing,unprovoked,unknown,17.0,injured,2017-09-02,usa,florida,"new smyrna beach, volusia county",M
surfing,unprovoked,white shark,37.0,no injury,2017-08-29,australia,victoria,cathedral rock,M
swimming,unprovoked,unknown,3.0,injured,2017-08-27,usa,florida,bathtub beach,F
swimming,other,unknown,11.0,injured,2017-08-26,spain,castellón,grao de moncofa,F
other,other,unknown,,no injury,2017-08-26,new zealand,north island,off tutukaka,M
other,unprovoked,white shark,69.0,injured,2017-08-23,usa,massachusetts,"marconi beach, wellfleet, barnstable county",M
fishing,unprovoked,other shark,,injured,2017-08-18,bahamas,,,M
swimming,unprovoked,other shark,13.0,other,2017-08-10,usa,south carolina,"sea pines resort, hilton head island, beaufort county",M
diving,unprovoked,other shark,20.0,injured,2017-08-05,egypt,red sea protectorate,marsa ghalib,F
fishing,provoked,other shark,34.0,injured,2017-08-03,usa,massachusetts,"menauhant beach, falmouth,
barnstable county",M
fishing,other,white shark,,no injury,2017-08-01,usa,california,"between pescadero point & bean hollow beach, san mateo county",M
other,unprovoked,unknown,15.0,injured,2017-07-31,usa,florida,"jacksonvlle, duval county",M
swimming,other,other shark,10.0,other,2017-07-29,usa,south carolina,"hilton head island, beaufort county",M
other,unprovoked,unknown,12.0,injured,2017-07-29,usa,south carolina,"debordieu colony, georgetown county",F
diving,unprovoked,unknown,,injured,2017-07-27,bahamas,new providence district,rose island,F
fishing,unprovoked,unknown,,injured,2017-07-26,bahamas,40 miles off grand bahama island,,M
surfing,unprovoked,unknown,37.0,injured,2017-07-24,"st helena, british overseas territory",ascension island,english bay,M
other,unprovoked,tiger shark,,injured,2017-07-23,usa,new jersey,ventnor,F
swimming,unprovoked,other shark,,other,2017-07-23,spain,majorca,"estanys beach, colonia de sant",F
other,unprovoked,other shark,40.0,injured,2017-07-22,usa,florida,"snipes point, monroe county",F
swimming,other,unknown,8.0,injured,2017-07-20,usa,south carolina,"hilton head island, beaufort county",F
other,other,white shark,40.0,no injury,2017-07-20,usa,california,"stearns wharf, santa barbara",M
other,unprovoked,white shark,50.0,no injury,2017-07-20,usa,california,"seal rock, goleta beach, santa barbara",M
surfing,unprovoked,white shark,,no injury,2017-07-14,usa,washington,"south beach, westport, grays harbor county",M
surfing,unprovoked,unknown,,injured,2017-07-14,australia,western australia,floreat beach,M
other,other,white shark,,no injury,2017-07-11,usa,california,"santa cruz, santa cruz county",M
swimming,unprovoked,bull shark,46.0,injured,2017-07-09,usa,florida,"haulover beach, miami-dade county",M
fishing,provoked,tiger shark,32.0,injured,2017-07-07,mexico,tabasco,"sánchez magallanes, cárdenas",M
surfing,unprovoked,white shark,13.0,no injury,2017-07-07,south africa,eastern cape province,"nahoon reef, east london",F
fishing,other,unknown,,other,2017-07-02,comoros,anjouan,moya,
fishing,other,other shark,,injured,2017-06-29,usa,south carolina,wrightsville beach,M
swimming,unprovoked,unknown,16.0,injured,2017-06-21,usa,south carolina,"south forest beach, hilton head island, beaufort county",F
surfing,unprovoked,unknown,,injured,2017-06-19,usa,florida,"singer island, palm beach county",M
swimming,unprovoked,bull shark,14.0,injured,2017-06-18,usa,south carolina,"burkes beach, hilton head, beaufort county",F
surfing,unprovoked,bull shark,34.0,no injury,2017-06-18,reunion,,roches noire,M
swimming,unprovoked,unknown,82.0,injured,2017-06-17,spain,ibiza island,playa d’en bossa,M
surfing,unprovoked,unknown,,injured,,french polynesia,marquesas,"atuona bay, hiva oa island",M
other,unprovoked,unknown,,other,2017-06-14,bahamas,,,F
surfing,unprovoked,white shark,48.0,no injury,2017-06-11,australia,western australia,"point casuarina, bunbury",M
surfing,unprovoked,other shark,,no injury,2017-06-10,australia,victoria,"flinders, mornington penisula",F
surfing,unprovoked,unknown,19.0,injured,2017-06-10,usa,florida,"ponce inlet, volusia county",M
surfing,unprovoked,other shark,30.0,other,2017-06-07,united kingdom,south devon,bantham beach,M
fishing,unprovoked,other shark,,injured,2017-06-04,usa,florida,"middle sambo reef off boca chica, monroe county",M
diving,unprovoked,tiger shark,32.0,other,2017-06-02,bahamas,new providence,athol island,F
other,provoked,other shark,20.0,injured,2017-05-30,usa,south carolina,"awendaw, charleston county",F
other,unprovoked,tiger shark,,injured,2017-05-28,usa,florida,off jupiter,M
fishing,other,unknown,73.0,other,2017-05-27,australia,new south wales,evans head,M
fishing,unprovoked,unknown,41.0,injured,2017-05-12,united arab emirates,"sharjah,",khor fakkan,M
other,provoked,other shark,29.0,other,2017-05-06,australia,queensland,weipa,M
diving,unprovoked,unknown,33.0,fatal,2017-05-05,mexico,baja california sur,"los arbolitos, cabo pulmo",M
surfing,other,other shark,18.0,injured,2017-05-03,usa,california,"sunset beach, orange county",F
swimming,unprovoked,unknown,,injured,2017-04-29,usa,california,"san onofre, san diego county",F
surfing,unprovoked,unknown,14.0,injured,2017-04-29,south africa,western cape province,"keurbooms, plettenberg bay",M
surfing,unprovoked,unknown,33.0,injured,2017-04-29,usa,south carolina,"folly beach, charleston county",F
surfing,unprovoked,unknown,28.0,fatal,2017-04-29,reunion,saint-leu,pointe au sal,M
surfing,unprovoked,unknown,,injured,2017-04-27,new zealand,south island,"porpoise bay, catlins",F
other,other,other shark,,injured,2017-04-26,usa,florida,,F
diving,unprovoked,unknown,40.0,injured,2017-04-22,"st helena, british overseas territory",ascension island,english bay,F
swimming,other,unknown,,injured,2017-04-20,usa,south carolina,georgetown county,M
other,unprovoked,unknown,,injured,2017-04-17,usa,florida,"daytona beach, volusia county",
surfing,unprovoked,white shark,17.0,fatal,2017-04-17,australia,western australia,kelpies near wylie bay,F
surfing,unprovoked,tiger shark,28.0,injured,2017-04-14,usa,hawaii,"kekaha beach, kauai",M
surfing,unprovoked,unknown,17.0,injured,2017-04-13,usa,florida,"hanna park, jacksonville, duval county",M
surfing,unprovoked,unknown,,injured,2017-04-12,usa,florida,st. augustine,F
diving,other,unknown,68.0,fatal,2017-04-12,south africa,kwazulu-natal,protea banks,M
surfing,unprovoked,unknown,35.0,injured,2017-04-11,usa,florida,"ormond beach, volusia county",F
other,unprovoked,unknown,10.0,injured,2017-04-10,usa,florida,"melbourne beach, brevard county",F
swimming,unprovoked,unknown,21.0,injured,2017-04-10,usa,florida,"melbourne beach, brevard county",F
swimming,unprovoked,unknown,16.0,injured,2017-04-06,usa,florida,"daytona, volusia county",M
swimming,unprovoked,unknown,51.0,injured,2017-04-05,usa,florida,"new smyrna beach, volusia county",F
other,unprovoked,unknown,39.0,no injury,2017-04-02,australia,queensland,moreton bay,M
swimming,unprovoked,bull shark,17.0,injured,2017-04-02,usa,florida,"destin, okaloosa county",F
surfing,unprovoked,unknown,58.0,injured,2017-03-27,usa,florida,"new smyrna beach, volusia county",M
surfing,unprovoked,unknown,30.0,other,2017-03-19,australia,new south wales,the farm,M
other,other,white shark,,no injury,2017-03-18,usa,california,monterey bay,M
fishing,unprovoked,other shark,25.0,injured,2017-03-11,philippines,luzon island,"villamar, caoayan",M
other,unprovoked,other shark,58.0,injured,2017-03-09,bahamas,the exuma cays,great exuma,M
fishing,provoked,unknown,,other,2017-03-07,mexico,tamaulipas,"playa baghdad, matamoros",M
other,unprovoked,other shark,,injured,2017-03-01,bahamas,the exuma cays,compass cay,F
diving,unprovoked,bull shark,,injured,2017-02-25,australia,western australia,mauds point,F
surfing,unprovoked,unknown,,no injury,2017-02-24,australia,western australia,"falcon bay beach, mandurah",M
surfing,unprovoked,unknown,26.0,fatal,2017-02-21,reunion,saint-andre,,M
fishing,unprovoked,unknown,26.0,injured,2017-02-17,australia,queensland,eva rock,M
swimming,unprovoked,unknown,22.0,injured,2017-02-11,usa,florida,"melbourne beach, brevard county",M
other,provoked,other shark,,injured,2017-02-06,brazil,pernambuco,fernando de noronha marine park,F
fishing,other,tiger shark,,no injury,2017-02-06,south africa,kwazulu-natal,eastmoor crescent beach,M
fishing,other,white shark,,no injury,2017-02-01,usa,south carolina,16 miles off hilton head,
diving,unprovoked,other shark,37.0,injured,2017-02-01,bahamas,bimini,,M
other,unprovoked,other,13.0,injured,,usa,,southern usa,M
swimming,unprovoked,unknown,21.0,injured,2017-01-24,brazil,pernambuco,"boa viagem, recife",M
other,unprovoked,unknown,,other,2017-01-22,usa,florida,"vero beach, indian river county",M
diving,unprovoked,bull shark,55.0,injured,2017-01-21,australia,queensland,"boot reef, torres strait",M
swimming,unprovoked,unknown,57.0,injured,2017-01-13,australia,queensland,clairview,M
other,unprovoked,unknown,,injured,2017-01-13,usa,florida,jensen beach,M
surfing,unprovoked,bull shark,48.0,injured,2017-01-09,indonesia,bali,balian beach,M
fishing,other,bull shark,35.0,other,2017-01-08,australia,queensland,,M
swimming,unprovoked,unknown,47.0,injured,2017-01-05,usa,florida,"blockhouse beach, brevard county",M
swimming,other,unknown,20.0,injured,2017-01-03,australia,new south wales,merimbula,M
surfing,unprovoked,unknown,16.0,injured,2016-12-27,usa,florida,"avalon state park beach, north hutchinson island, st lucie county",M
diving,unprovoked,other shark,,injured,2016-12-24,australia,western australia,"bundegi sanctuary zone, ningaloo",F
surfing,unprovoked,white shark,55.0,no injury,2016-12-19,south africa,western cape province,"keurbooms lagoon, plettenberg bay",M
diving,unprovoked,unknown,61.0,other,2016-12-14,australia,western australia,trigg beach,M
fishing,unprovoked,unknown,,injured,2016-12-11,french polynesia,tuamotos,takapoto atoll,M
surfing,other,unknown,19.0,other,2016-12-11,usa,florida,"new smyrna beach, volusia county",M
other,provoked,other shark,20.0,injured,2016-12-06,australia,new south wales,merimbula,M
surfing,unprovoked,white shark,65.0,injured,2016-12-01,australia,new south wales,booti booti national park,M
fishing,provoked,other shark,73.0,injured,2016-11-28,australia,victoria,queenscliff,M
other,unprovoked,other,,injured,2016-11-17,mozambique,inhambane province,chicuque beac maxixe city,M
other,unprovoked,tiger shark,58.0,injured,2016-11-14,usa,hawaii,"kamaole beach park i, maui",F
surfing,unprovoked,unknown,41.0,injured,2016-10-30,usa,florida,"mayport naval station beach, duval county",M
surfing,unprovoked,unknown,42.0,injured,2016-10-29,usa,florida,mayport naval station  duval county,M
surfing,unprovoked,unknown,36.0,injured,2016-10-24,australia,new south wales,broken head beach,M
surfing,unprovoked,other shark,36.0,injured,2016-10-21,usa,hawaii,"hooipa beach park, maui",M
surfing,unprovoked,unknown,,other,2016-10-15,australia,queensland,"kings beach, caloundra",M
diving,unprovoked,unknown,66.0,injured,2016-10-14,usa,hawaii,"charlie young beach, kihei, maui",F
other,other,white shark,,no injury,2016-10-13,mexico,,guadalupe island,M
surfing,unprovoked,unknown,25.0,injured,2016-10-12,australia,new south wales,"sharpes beach, ballina",M
surfing,unprovoked,unknown,29.0,other,2016-10-10,usa,oregon,"indian beach, ecola state park, clatsop county",M
fishing,unprovoked,other,,injured,2016-10-03,mozambique,inhambane province,,M
surfing,unprovoked,unknown,21.0,other,2016-10-02,usa,florida,"new smyrna beach, volusia county",M
other,unprovoked,unknown,32.0,injured,2016-10-01,usa,florida,"new smyrna beach, volusia county",M
surfing,unprovoked,white shark,17.0,injured,2016-09-26,australia,new south wales,"lighthouse beach, ballina",M
surfing,unprovoked,unknown,16.0,injured,2016-09-18,usa,florida,"new smyrna beach, volusia county",M
surfing,unprovoked,unknown,36.0,injured,2016-09-18,usa,florida,"new smyrna beach, volusia county",M
surfing,unprovoked,unknown,43.0,injured,2016-09-18,usa,florida,"new smyrna beach, volusia county",M
surfing,unprovoked,unknown,43.0,no injury,2016-09-17,usa,california,"bunkers, humboldt bay, eureka, humboldt county",M
surfing,unprovoked,unknown,,other,2016-09-17,australia,victoria,thirteenth beach,M
surfing,unprovoked,other shark,,no injury,2016-09-16,australia,victoria,bells beach,M
fishing,other,unknown,,no injury,2016-09-15,australia,western australia,bunbury,
swimming,unprovoked,other shark,,injured,2016-09-11,usa,florida,"ponte vedra, st. johns county",M
swimming,unprovoked,tiger shark,51.0,injured,2016-09-07,usa,hawaii,"makaha, oahu",F
other,unprovoked,unknown,50.0,fatal,2016-09-06,new caledonia,north province,koumac,M
surfing,unprovoked,unknown,12.0,injured,2016-09-05,usa,south carolina,"kingston plantation, myrtle beach, horry county",F
surfing,unprovoked,unknown,,other,2016-09-05,australia,western australia,injidup,M
surfing,unprovoked,unknown,9.0,injured,2016-09-04,usa,florida,"new smyrna beach, volusia county",M
fishing,unprovoked,white shark,22.0,other,2016-09-01,usa,california,"refugio state beach, santa barbara county",M
other,other,unknown,,no injury,,mexico,,guadalupe island,
surfing,unprovoked,bull shark,25.0,injured,2016-08-29,usa,florida,"new smyrna beach, volusia county",M
surfing,unprovoked,unknown,37.0,injured,2016-08-29,usa,florida,"new smyrna beach, volusia county",M
surfing,unprovoked,bull shark,20.0,injured,2016-08-27,reunion,,boucan canot,M
swimming,unprovoked,unknown,49.0,injured,2016-08-25,usa,florida,"ponte vedra, st. johns county",M
diving,unprovoked,unknown,15.0,injured,2016-08-07,bahamas,new providence island,nassau,M
other,unprovoked,tiger shark,21.0,other,2016-08-06,usa,hawaii,maui,M
surfing,unprovoked,other shark,22.0,injured,2016-08-04,usa,florida,"new smyrna beach, volusia county",M
swimming,unprovoked,other shark,40.0,injured,2016-07-29,spain,alicante province,arenales del sol,M
swimming,unprovoked,unknown,72.0,injured,2016-07-28,china,hong kong,,M
other,other,white shark,,no injury,2016-07-28,australia,western australia,near albany,M
other,provoked,other shark,43.0,injured,2016-07-27,usa,florida,"florida keys, monroe county",M
surfing,unprovoked,unknown,18.0,no injury,2016-07-26,australia,new south wales,"sharpes beach, ballina",M
surfing,unprovoked,unknown,29.0,injured,2016-07-24,japan,kochi prefecture,irino beach,M
surfing,unprovoked,unknown,36.0,no injury,2016-07-23,australia,tasmania,clifton beach,M
fishing,unprovoked,bull shark,,injured,2016-07-23,bahamas,abaco islands,green turtle cay,M
fishing,provoked,other shark,31.0,injured,2016-07-20,australia,queensland,"20 k off the spit, off the gold coast",M
fishing,other,tiger shark,,no injury,2016-07-17,usa,alabama,8 miles off mobile,
surfing,unprovoked,unknown,9.0,injured,2016-07-16,usa,florida,"new smyrna beach, volusia county",F
other,unprovoked,unknown,11.0,injured,2016-07-16,usa,florida,"new smyrna beach, volusia county",F
other,unprovoked,white shark,61.0,no injury,2016-07-15,usa,california,"surfside, orange county",M
swimming,unprovoked,unknown,,other,2016-07-15,usa,south carolina,"north myrtle beach, horry county",M
diving,unprovoked,other shark,,other,2016-07-14,bahamas,,tiger beach,M
swimming,unprovoked,other shark,10.0,other,2016-07-08,spain,canary islands,"las teresitas, tenerife",F
fishing,other,white shark,,no injury,2016-07-08,usa,california,"capitola, santa cruz county",M
fishing,provoked,other shark,59.0,injured,2016-07-07,usa,massachusetts,"off gloucester, essec county",M
fishing,other,white shark,,no injury,2016-07-07,usa,california,"off palos verdes peninsula, los angeles county",M
swimming,unprovoked,unknown,42.0,injured,2016-07-06,usa,florida,"melbourne beach, brevard county",F
fishing,provoked,other shark,34.0,injured,2016-07-04,australia,queensland,palm cove,M
other,unprovoked,other shark,35.0,injured,2016-06-27,usa,south carolina,sullivan's island,M
surfing,unprovoked,unknown,11.0,injured,2016-06-25,usa,north carolina,"atlantic beach, emerald isle, carteret county",M
diving,unprovoked,other shark,59.0,injured,2016-06-24,columbia,isla providencia,,M
fishing,unprovoked,white shark,43.0,injured,2016-06-23,south africa,western cape province,ryspunt,M
other,unprovoked,other shark,42.0,injured,2016-06-21,usa,south carolina,"north myrtle beach, horry county",M
swimming,unprovoked,unknown,,injured,2016-06-21,usa,florida,"pelican beach park, satellite beach, brevard county",M
surfing,unprovoked,other shark,,other,2016-06-15,usa,hawaii,"kalapaki beach, kauai",M
fishing,provoked,other shark,19.0,no injury,2016-06-15,australia,western australia,coral bay,M
other,unprovoked,other shark,6.0,injured,2016-06-14,usa,texas,"pirates beach, galveston",F
swimming,unprovoked,other shark,19.0,injured,2016-06-11,usa,north carolina,"atlantic beach, emerald isle, carteret county",M
surfing,other,other shark,27.0,no injury,2016-06-07,usa,south carolina,"folly beach, charleston county",M
swimming,unprovoked,unknown,64.0,injured,2016-06-05,usa,florida,"flagler beach, flagler county",M
diving,unprovoked,other shark,60.0,fatal,2016-06-05,australia,western australia,mindarie,F
swimming,unprovoked,other shark,23.0,injured,2016-06-04,egypt,suez,ain sokhna,M
fishing,unprovoked,other shark,,no injury,2016-06-02,australia,new south wales,kingscliff,M
other,unprovoked,other shark,,injured,2016-06-02,new caledonia,,"côte-blanche, nouméa",M
surfing,unprovoked,white shark,29.0,fatal,2016-05-31,australia,western australia,"falcon beach, mandurah",M
swimming,unprovoked,unknown,52.0,injured,2016-05-29,usa,california,"corona del mar, newport, orange county",F
swimming,unprovoked,other shark,13.0,injured,2016-05-29,usa,florida,"neptune, duval county",M
swimming,unprovoked,unknown,57.0,other,2016-05-22,usa,florida,"vero beach, indian river county",F
swimming,unprovoked,bull shark,22.0,injured,2016-05-21,usa,florida,"st. petersburg, pinellas county",F
swimming,unprovoked,unknown,11.0,injured,2016-05-21,usa,florida,"hugenot beach , jacksonville, duval county",F
swimming,unprovoked,other shark,48.0,injured,2016-05-18,usa,florida,"ponte vedra, st. johns county",M
other,provoked,other shark,23.0,other,2016-05-15,usa,florida,"boca raton, palm beach county",F
other,unprovoked,unknown,59.0,injured,2016-05-03,usa,hawaii,"wailea beach, maui",M
